Hmax[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.3	1	25	25	70	0.9942	203.5068215	20	20.23542816	23.2834965	203.9620425	48.42436281	64.372	1.67507169	0.2034	60.81108927
1.3	1	25	25	80	0.1988	24.39846294	20	21.01606771	82.8402337	112.134953	1.15433144	73.82344444	5.95972904	1.0235	476.2469115
1.3	1	25	25	80	0.3977	53.49874446	20	20.92360985	149.4990329	205.1599423	5.06201469	73.82344444	10.7553261	1.6678	533.2125931
1.3	1	25	25	80	0.5965	87.30090521	20	20.76846484	178.9839604	263.9633792	12.39015	73.82344444	12.87654392	1.8063	469.7017506
1.3	1	25	25	80	0.7953	125.8049878	20	20.54167869	148.0114065	268.8479499	23.80588757	73.82344444	10.64830262	1.367	340.182504
1.3	1	25	25	80	0.9942	169.0110217	20	20.22638122	26.5397044	192.3986808	39.97640268	73.82344444	1.90933125	0.2294	164.0266632
1.3	1	25	25	90	0.1988	21.43965555	20	20.97110417	74.2242121	112.17989	1.01589831	83.27488889	5.33987137	0.8281	713.7696581
1.3	1	25	25	90	0.3977	46.59437996	20	20.86612808	134.4846275	198.0763276	4.41550833	83.27488889	9.67515306	1.3812	821.7854264
1.3	1	25	25	90	0.5965	75.46421315	20	20.71215917	160.0125456	250.4518532	10.72674852	83.27488889	11.51169393	1.5165	789.9715208
1.3	1	25	25	90	0.7953	108.0491844	20	20.49272873	128.4397689	250.9294588	20.47757337	83.27488889	9.24027115	1.1367	696.1874478
1.3	1	25	25	90	0.9942	144.349315	20	20.18918056	10.81683846	172.9789249	34.19595654	83.27488889	0.77818982	0.0915	563.7482375
1.3	1	25	25	100	0.1988	19.02445271	20	20.93198616	56.67398962	123.3320478	0.91287081	91.96	4.07726544	0.5846	1662.732728
1.3	1	25	25	100	0.3977	41.05816915	20	20.79724002	109.5687067	198.2665937	3.940043	91.96	7.88264077	1.0558	1688.329464
1.3	1	25	25	100	0.5965	66.10116666	20	20.64111669	129.9146136	241.4499352	9.51441171	91.96	9.34637508	1.1723	1601.817429
1.3	1	25	25	100	0.7953	94.15347069	20	20.42751368	95.03140514	235.3876864	18.06892077	91.96	6.83679174	0.8132	1519.029632
1.3	1	25	25	100	0.9942	125.2151056	20	20.13351432	-23.78299707	153.4406484	30.03654309	91.96	-1.71100698	-0.1977	1453.563942
1.3	1	30	20	60	0.1988	33.68866204	20	21.02389691	88.97203488	107.7334901	1.60137866	55.176	6.40086582	1.4083	283.7217999
1.3	1	30	20	60	0.3977	75.81455404	20	20.93606124	155.6130743	204.1134575	7.20717236	55.176	11.1951852	2.1149	310.8904842
1.3	1	30	20	60	0.5965	126.3778425	20	20.75967566	176.1196568	261.9311558	18.02003471	55.176	12.67047891	2.0511	246.0633991
1.3	1	30	20	60	0.7953	185.37863	20	20.5010646	125.4444572	260.0941378	35.24272743	55.176	9.02478109	1.2615	117.7872305
1.3	1	30	20	60	0.9942	252.8169804	20	20.14707031	-28.28116603	170.4390154	60.07805814	55.176	-2.03461626	-0.2498	-59.58604559
1.3	1	30	20	70	0.1988	28.32010001	20	20.99222422	84.03175883	106.8695781	1.34793378	64.372	6.04545028	1.1709	363.5159742
1.3	1	30	20	70	0.3977	62.83074925	20	20.90328578	148.6842145	198.9375277	5.98072117	64.372	10.69670608	1.8345	409.0426731
1.3	1	30	20	70	0.5965	103.5320462	20	20.73794486	171.7166207	254.3864736	14.78194541	64.372	12.35371372	1.8765	349.7415509
1.3	1	30	20	70	0.7953	150.4240559	20	20.49596248	129.2307879	252.873594	28.63526263	64.372	9.29717898	1.2632	224.0319168
1.3	1	30	20	70	0.9942	203.5068215	20	20.16275704	-9.4088351	166.7811404	48.42436281	64.372	-0.67689461	-0.0839	48.02328174
1.3	1	30	20	80	0.1988	24.39846294	20	20.95203304	77.23910025	105.3658176	1.15433144	73.82344444	5.5567698	0.9591	474.1920466
1.3	1	30	20	80	0.3977	53.49874446	20	20.85538163	137.3441804	190.965106	5.06201469	73.82344444	9.88087628	1.5473	531.6797104
1.3	1	30	20	80	0.5965	87.30090521	20	20.69491074	159.1452352	241.2119736	12.39015	73.82344444	11.4492975	1.6295	468.792006
1.3	1	30	20	80	0.7953	125.8049878	20	20.46370511	119.8117988	236.865812	23.80588757	73.82344444	8.61955387	1.1277	339.3528482
1.3	1	30	20	80	0.9942	169.0110217	20	20.14553073	-10.1136216	151.0567786	39.97640268	73.82344444	-0.72759868	-0.0894	162.659162
1.3	1	30	20	90	0.1988	21.43965555	20	20.90510975	68.50081514	105.1734105	1.01589831	83.27488889	4.9281162	0.7678	709.8343852
1.3	1	30	20	90	0.3977	46.59437996	20	20.79609003	122.0655353	183.4937558	4.41550833	83.27488889	8.78169319	1.2653	818.8848277
1.3	1	30	20	90	0.5965	75.46421315	20	20.63677732	139.738913	227.1582663	10.72674852	83.27488889	10.05315921	1.3429	788.9906398
