f[Hz],H[mm],H_max[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
2,20,1,0.7953,236.53609,20,-85.02350806,209.3773616,181.6010269,91.96,-6.11679914,-0.3179
2,20,1,0.9942,325.7613467,20,-429.3980575,23.46962574,312.6102643,91.96,-30.89194659,-1.1491
2,20,1.1,0.1988,41.08011652,20,119.4234677,169.1563635,7.88797335,91.96,8.59161638,1.1013
2,20,1.1,0.3977,94.19589525,20,198.344864,305.9315399,36.16709569,91.96,14.26941468,1.3929
2,20,1.1,0.5965,159.3477262,20,200.2967433,392.5171546,91.76250479,91.96,14.40983765,1.0109
2,20,1.1,0.7953,236.53609,20,82.03758783,393.6313071,181.6010269,91.96,5.90198474,0.2936
2,20,1.1,0.9942,325.7613467,20,-218.6865862,255.0684198,312.6102643,91.96,-15.73284793,-0.5624
2,20,1.2,0.1988,41.08011652,20,157.1097684,212.0715353,7.88797335,91.96,11.30286104,1.4135
2,20,1.2,0.3977,94.19589525,20,275.9117021,392.6541971,36.16709569,91.96,19.84976274,1.8646
2,20,1.2,0.5965,159.3477262,20,318.9044583,524.083215,91.76250479,91.96,22.94276679,1.5431
2,20,1.2,0.7953,236.53609,20,242.009637,570.2553067,181.6010269,91.96,17.41076525,0.8317
2,20,1.2,0.9942,325.7613467,20,-17.56848042,476.3942284,312.6102643,91.96,-1.26391945,-0.0436
2,20,1.3,0.1988,41.08011652,20,193.0325502,253.2422751,7.88797335,91.96,13.88723383,1.6972
2,20,1.3,0.3977,94.19589525,20,349.6941043,475.478793,36.16709569,91.96,25.15784923,2.2813
2,20,1.3,0.5965,159.3477262,20,431.5938588,649.4921962,91.76250479,91.96,31.0499179,2.0095
2,20,1.3,0.7953,236.53609,20,393.9029595,738.4260491,181.6010269,91.96,28.33834241,1.3047
2,20,1.3,0.9942,325.7613467,20,173.2767839,686.9444563,312.6102643,91.96,12.46595568,0.4155
2,20,1.4,0.1988,41.08011652,20,227.3739882,292.8965738,7.88797335,91.96,16.35784088,1.9566
2,20,1.4,0.3977,94.19589525,20,420.1258188,554.9320605,36.16709569,91.96,30.22487905,2.6531
2,20,1.4,0.5965,159.3477262,20,539.1071386,769.6207941,91.76250479,91.96,38.78468623,2.4229
2,20,1.4,0.7953,236.53609,20,538.8186716,899.4391828,181.6010269,91.96,38.76393321,1.7252
